label,text
non-spam,"Hi, are we still meeting for lunch tomorrow at 12:30?"
spam,WIN a FREE iPhone 15 today!!! Click this link now to claim your prize.
non-spam,Please find attached the updated project report for your review.
spam,You have been selected for a $5000 CASH REWARD. Verify your account immediately!
non-spam,Your order has been shipped and will arrive between Tuesday and Wednesday.
spam,URGENT: Your account will be CLOSED. Confirm your password at http://fake-login.com.
non-spam,Can you check the latest budget numbers and send me your feedback?
spam,"Congratulations! You are the lucky visitor number 1,000,000. Click to collect your gift card!"
non-spam,Reminder: team meeting tomorrow about the security audit results.
spam,Make money from home FAST! Earn $1000 per day with no experience required.
non-spam,"Here are the minutes from yesterday's meeting, let me know if I missed anything."
spam,"Get CHEAP MEDICATIONS without prescription, limited-time online pharmacy sale."
non-spam,"The new VPN configuration is attached, please update your settings before Friday."
spam,FINAL NOTICE: Your PayPal account has suspicious activity. Log in here to secure it: http://paypal-security-check.com
non-spam,Thank you for your application. We will get back to you within two weeks.
spam,Crypto investment SECRET: double your money in 7 days. Join the private program now.
non-spam,Could you approve the attached invoice so we can process the payment?
spam,Claim your FREE luxury vacation to the Bahamas. Only a small processing fee is required.
non-spam,The server maintenance window is scheduled for Saturday from 1am to 3am.
spam,Exclusive adult content unlocked. Click this link to access your membership.
non-spam,Please reset your corporate email password using the official portal by the end of the week.
spam,"Lottery WINNER! Your email has won €2,500,000. Reply with your bank details to receive funds."
non-spam,I have shared the documents on Google Drive. Let me know if you have access issues.
spam,Instant weight loss solution approved by doctors! Order today and pay NOTHING for shipping.
non-spam,"Thanks for your help with the presentation, the changes look great."
spam,Security ALERT: someone tried to sign in from a new location. Click here to verify or your account will be locked.
non-spam,"The conference schedule is attached, including your talk on AI and cybersecurity."
spam,Act NOW to receive your exclusive black credit card with no credit check required.
non-spam,Let us know if you are joining the office party next Friday.
spam,You are pre-approved for a huge loan at 0% interest. Apply instantly with this short form!
